1550	;	1550	;	750	;	0.5
1650	;	1550	;	750	;	0.5
1750	;	1550	;	750	;	0.5
1850	;	1550	;	750	;	0.5
1950	;	1550	;	750	;	0.5
2050	;	1550	;	750	;	0.5
2150	;	1550	;	750	;	0.5
2250	;	1550	;	750	;	0.5
2350	;	1550	;	750	;	0.5
2450	;	1550	;	750	;	0.5
1550	;	1650	;	750	;	0.5
1650	;	1650	;	750	;	0.5
1750	;	1650	;	750	;	0.5
1850	;	1650	;	750	;	0.5
1950	;	1650	;	750	;	0.5
2050	;	1650	;	750	;	0.5
2150	;	1650	;	750	;	0.5
2250	;	1650	;	750	;	0.5
2350	;	1650	;	750	;	0.5
2450	;	1650	;	750	;	0.5
1550	;	1750	;	750	;	0.5
1650	;	1750	;	750	;	0.5
1750	;	1750	;	750	;	0.5
1850	;	1750	;	750	;	0.5
1950	;	1750	;	750	;	0.5
2050	;	1750	;	750	;	0.5
2150	;	1750	;	750	;	0.5
2250	;	1750	;	750	;	0.5
2350	;	1750	;	750	;	0.5
2450	;	1750	;	750	;	0.5
1550	;	1850	;	750	;	0.5
1650	;	1850	;	750	;	0.5
1750	;	1850	;	750	;	0.5
1850	;	1850	;	750	;	0.5
1950	;	1850	;	750	;	0.5
2050	;	1850	;	750	;	0.5
2150	;	1850	;	750	;	0.5
2250	;	1850	;	750	;	0.5
2350	;	1850	;	750	;	0.5
2450	;	1850	;	750	;	0.5
1550	;	1950	;	750	;	0.5
1650	;	1950	;	750	;	0.5
1750	;	1950	;	750	;	0.5
1850	;	1950	;	750	;	0.5
1950	;	1950	;	750	;	0.5
2050	;	1950	;	750	;	0.5
2150	;	1950	;	750	;	0.5
2250	;	1950	;	750	;	0.5
2350	;	1950	;	750	;	0.5
2450	;	1950	;	750	;	0.5
1550	;	2050	;	750	;	0.5
1650	;	2050	;	750	;	0.5
1750	;	2050	;	750	;	0.5
1850	;	2050	;	750	;	0.5
1950	;	2050	;	750	;	0.5
2050	;	2050	;	750	;	0.5
2150	;	2050	;	750	;	0.5
2250	;	2050	;	750	;	0.5
2350	;	2050	;	750	;	0.5
2450	;	2050	;	750	;	0.5
1550	;	2150	;	750	;	0.5
1650	;	2150	;	750	;	0.5
1750	;	2150	;	750	;	0.5
1850	;	2150	;	750	;	0.5
1950	;	2150	;	750	;	0.5
2050	;	2150	;	750	;	0.5
2150	;	2150	;	750	;	0.5
2250	;	2150	;	750	;	0.5
2350	;	2150	;	750	;	0.5
2450	;	2150	;	750	;	0.5
1550	;	2250	;	750	;	0.5
1650	;	2250	;	750	;	0.5
1750	;	2250	;	750	;	0.5
1850	;	2250	;	750	;	0.5
1950	;	2250	;	750	;	0.5
2050	;	2250	;	750	;	0.5
2150	;	2250	;	750	;	0.5
2250	;	2250	;	750	;	0.5
2350	;	2250	;	750	;	0.5
2450	;	2250	;	750	;	0.5
1550	;	2350	;	750	;	0.5
1650	;	2350	;	750	;	0.5
1750	;	2350	;	750	;	0.5
1850	;	2350	;	750	;	0.5
1950	;	2350	;	750	;	0.5
2050	;	2350	;	750	;	0.5
2150	;	2350	;	750	;	0.5
2250	;	2350	;	750	;	0.5
2350	;	2350	;	750	;	0.5
2450	;	2350	;	750	;	0.5
1550	;	2450	;	750	;	0.5
1650	;	2450	;	750	;	0.5
1750	;	2450	;	750	;	0.5
1850	;	2450	;	750	;	0.5
1950	;	2450	;	750	;	0.5
2050	;	2450	;	750	;	0.5
2150	;	2450	;	750	;	0.5
2250	;	2450	;	750	;	0.5
2350	;	2450	;	750	;	0.5
2450	;	2450	;	750	;	0.5
1550	;	1550	;	850	;	0.5
1650	;	1550	;	850	;	0.5
1750	;	1550	;	850	;	0.5
1850	;	1550	;	850	;	0.5
1950	;	1550	;	850	;	0.5
2050	;	1550	;	850	;	0.5
2150	;	1550	;	850	;	0.5
2250	;	1550	;	850	;	0.5
2350	;	1550	;	850	;	0.5
2450	;	1550	;	850	;	0.5
1550	;	1650	;	850	;	0.5
1650	;	1650	;	850	;	0.5
1750	;	1650	;	850	;	0.5
1850	;	1650	;	850	;	0.5
1950	;	1650	;	850	;	0.5
2050	;	1650	;	850	;	0.5
2150	;	1650	;	850	;	0.5
2250	;	1650	;	850	;	0.5
2350	;	1650	;	850	;	0.5
2450	;	1650	;	850	;	0.5
1550	;	1750	;	850	;	0.5
1650	;	1750	;	850	;	0.5
1750	;	1750	;	850	;	0.5
1850	;	1750	;	850	;	0.5
1950	;	1750	;	850	;	0.5
2050	;	1750	;	850	;	0.5
2150	;	1750	;	850	;	0.5
2250	;	1750	;	850	;	0.5
2350	;	1750	;	850	;	0.5
2450	;	1750	;	850	;	0.5
1550	;	1850	;	850	;	0.5
1650	;	1850	;	850	;	0.5
1750	;	1850	;	850	;	0.5
1850	;	1850	;	850	;	0.5
1950	;	1850	;	850	;	0.5
2050	;	1850	;	850	;	0.5
2150	;	1850	;	850	;	0.5
2250	;	1850	;	850	;	0.5
2350	;	1850	;	850	;	0.5
2450	;	1850	;	850	;	0.5
1550	;	1950	;	850	;	0.5
1650	;	1950	;	850	;	0.5
1750	;	1950	;	850	;	0.5
1850	;	1950	;	850	;	0.5
1950	;	1950	;	850	;	0.5
2050	;	1950	;	850	;	0.5
2150	;	1950	;	850	;	0.5
2250	;	1950	;	850	;	0.5
2350	;	1950	;	850	;	0.5
2450	;	1950	;	850	;	0.5
1550	;	2050	;	850	;	0.5
1650	;	2050	;	850	;	0.5
