1550	;	1950	;	750	;	0.5
1650	;	1950	;	750	;	0.5
1750	;	1950	;	750	;	0.5
1850	;	1950	;	750	;	0.5
1950	;	1950	;	750	;	0.5
2050	;	1950	;	750	;	0.5
2150	;	1950	;	750	;	0.5
2250	;	1950	;	750	;	0.5
2350	;	1950	;	750	;	0.5
2450	;	1950	;	750	;	0.5
1550	;	2050	;	750	;	0.5
1650	;	2050	;	750	;	0.5
1750	;	2050	;	750	;	0.5
1850	;	2050	;	750	;	0.5
1950	;	2050	;	750	;	0.5
2050	;	2050	;	750	;	0.5
2150	;	2050	;	750	;	0.5
2250	;	2050	;	750	;	0.5
2350	;	2050	;	750	;	0.5
2450	;	2050	;	750	;	0.5
1550	;	1950	;	850	;	0.5
1650	;	1950	;	850	;	0.5
1750	;	1950	;	850	;	0.5
1850	;	1950	;	850	;	0.5
1950	;	1950	;	850	;	0.5
2050	;	1950	;	850	;	0.5
2150	;	1950	;	850	;	0.5
2250	;	1950	;	850	;	0.5
2350	;	1950	;	850	;	0.5
2450	;	1950	;	850	;	0.5
1550	;	2050	;	850	;	0.5
1650	;	2050	;	850	;	0.5
1750	;	2050	;	850	;	0.5
1850	;	2050	;	850	;	0.5
1950	;	2050	;	850	;	0.5
2050	;	2050	;	850	;	0.5
2150	;	2050	;	850	;	0.5
2250	;	2050	;	850	;	0.5
2350	;	2050	;	850	;	0.5
2450	;	2050	;	850	;	0.5
